2090,58,8,286
2090,56,8,254
2091,56,16,268
2089,49,9,286
2092,55,9,371
2094,57,8,287
2091,56,8,285
2092,56,9,297
2091,55,9,263
2090,55,9,291
2090,56,9,321
2091,56,8,260
2090,65,21,305
2092,61,9,452
2092,53,9,328
2098,63,9,297
2104,58,9,360
2099,58,9,318
2093,58,9,521
2098,64,9,360
2091,63,8,362
2097,58,9,325
2093,58,8,329
2095,57,9,1464
2090,63,10,455
2094,64,10,355
2093,345,9,424
2096,66,9,280
2091,57,8,284
2091,57,8,275
2088,57,9,1495
2091,48,9,304
2091,54,9,231
2091,50,9,339
2088,60,10,275
2092,56,8,305
2092,55,8,284
2094,54,10,287
2092,55,11,293
2088,52,9,2942
2088,51,9,284
2091,54,8,298
2090,55,35,302
2089,56,9,275
2091,49,9,286
2090,55,9,289
2092,55,8,284
2091,56,8,332
2090,49,10,448
2096,54,9,278
2090,56,8,286
2092,55,9,282
2090,64,18,291
2092,59,19,330
2092,66,21,343
2091,54,9,289
2105,52,8,467
2092,51,8,324
2099,58,9,353
2093,56,10,318
2098,66,23,365
2093,51,8,300
2100,50,9,306
2093,57,9,277
2093,58,8,323
2090,59,15,303
2092,64,13,316
2092,58,9,3197
2092,358,9,452
2103,65,9,370
2090,58,9,348
2099,56,33,302
2100,61,23,281
2092,55,13,2489
2088,50,8,1602
2091,56,9,291
2092,54,11,592
2098,55,59,459
2091,54,13,351
2099,55,22,978
2091,50,9,286
2098,57,10,322
2091,55,11,513
2097,56,15,325
2091,54,9,324
2092,57,25,302
2090,55,9,2758
2090,56,9,309
2090,54,9,325
2092,57,9,579
2092,57,25,369
2092,52,11,327
2090,60,9,523
2093,57,9,309
2089,50,14,341
2090,56,9,287
2093,57,17,516
2089,56,33,321
2090,56,9,283
2093,65,8,325
2091,65,8,328
2092,54,17,323
2090,57,32,321
2093,51,9,319
2100,57,15,1044
2090,60,9,315
2099,57,18,352
2107,63,10,297
2097,62,9,321
2091,58,9,3606
2091,58,9,447
2092,65,8,355
2091,357,8,495
2104,70,9,550
2092,57,10,434
2096,58,9,372
2095,61,28,379
2099,50,9,299
2091,55,9,296
2091,55,9,259
2089,56,13,299
2093,55,10,530
2089,55,9,273
2089,57,27,457
2088,56,9,330
2091,57,9,620
2091,48,22,463
2092,49,36,463
2090,51,9,1326
2095,57,9,288
2092,55,10,335
2093,56,9,404
2093,55,9,285
2092,58,9,280
2091,56,9,293
2092,57,9,295
2092,59,9,310
2091,55,9,274
2092,55,9,293
2093,49,8,294
2093,54,9,474
2096,56,37,300
2092,49,19,312
2092,57,9,354
2092,63,10,337
2091,96,9,331
2091,62,10,317
2095,64,9,381
2091,57,10,432
2093,65,9,320
2092,64,9,311
2093,60,9,364
2091,57,9,311
2093,64,9,316
2108,53,29,1468
2141,65,8,407
2090,65,8,306
2148,61,8,692
2098,87,9,291
2096,64,61,325
2089,57,9,283
2090,50,10,296
2090,56,10,325
2091,51,11,286
2091,54,9,297
2091,57,16,301
2091,54,10,438
2092,54,9,284
2096,55,11,277
2091,56,21,281
2091,56,9,248
2089,50,38,322
2091,56,9,289
2092,55,20,300
2090,56,13,480
2088,55,28,364
2091,54,18,278
2091,56,11,317
2089,56,9,260
2091,55,10,319
2091,58,9,1271
2095,54,10,288
2092,55,9,285
2090,56,10,356
2090,64,9,329
2092,53,15,650
2095,60,8,319
2143,57,9,326
2091,62,9,385
2155,61,9,298
2090,59,9,407
2091,121,9,598
2091,58,9,2659
2090,59,9,383
2092,57,9,359
2096,64,10,344
2090,52,11,621
2104,85,8,1393
2091,60,11,259
2089,64,10,318
2088,56,27,302
2091,56,9,246
2090,56,12,274
2088,58,10,270
2088,55,8,396
2089,54,10,330
2097,60,10,828
2090,58,27,381
2090,55,13,375
2091,56,48,324
2098,54,9,276
2090,56,8,371
2090,51,54,386
2090,55,9,388
2091,54,45,305
2089,55,9,284
2089,55,15,284
2091,56,8,378
2089,55,9,357
2098,49,9,328
2090,56,8,284
2091,57,9,285
2091,55,10,276
2090,66,10,352
2091,64,10,319
2091,52,8,399
2091,57,11,311
2092,65,8,359
2089,63,77,504
2092,64,9,277
2098,62,9,294
2093,57,9,325
2091,68,11,343
2093,57,9,315
2091,57,9,306
2146,62,9,319
2092,58,9,423
2098,85,18,298
2090,66,9,325
2092,61,9,435
2088,57,8,292
2092,57,9,276
2090,56,9,254
2089,58,9,259
2091,49,13,283
2090,57,8,278
2089,55,9,297
2090,55,57,384
2091,54,8,452
2090,55,8,277
2091,56,30,323
2090,61,10,256
2091,49,10,322
2089,55,9,266
2091,55,9,322
2090,56,10,291
2090,56,20,304
2090,57,9,1695
2087,50,30,291
2090,57,21,280
2090,56,9,271
2090,49,9,422
2088,56,29,317
2091,66,9,284
2090,59,9,322
2089,63,9,300
2092,58,9,311
2091,65,9,297
2090,63,9,302
2106,59,10,331
2090,64,46,321
2090,57,9,334
2088,59,9,470
2090,60,9,310
2090,66,10,353
2090,57,8,306
2092,65,9,360
2130,340,11,269
2097,65,10,290
2089,58,16,287
2091,52,10,299
2093,55,14,306
2090,56,10,414
2097,54,9,1700
2090,54,10,314
2093,53,11,307
2091,54,9,273
2091,47,9,600
2088,54,9,282
2090,53,9,328
2089,54,9,3234
2090,53,9,312
2092,63,8,273
2091,54,9,295
2090,54,8,281
2093,54,9,527
2088,55,20,332
