2096,63,18,484
2094,65,58,589
2159,69,16,624
2095,68,57,583
2145,67,34,465
2097,66,15,467
2153,67,14,587
2096,65,16,974
2153,66,15,478
2095,65,19,451
2155,65,16,532
2095,70,36,649
2104,100,29,439
2095,72,20,374
2102,65,50,446
2093,67,53,438
2102,64,17,445
2093,66,17,467
2094,65,15,593
2103,65,14,505
2102,85,14,625
2095,63,18,522
2093,63,28,1283
2094,66,16,439
2100,65,15,441
2095,66,15,471
2101,66,14,592
2156,64,16,473
2102,65,26,553
2151,68,15,511
2095,67,20,4104
2097,66,25,511
2143,67,17,497
2095,68,15,528
2151,68,57,556
2102,66,22,594
2150,68,21,814
2104,96,20,503
2093,72,20,451
2099,68,17,523
2091,66,14,545
2094,66,16,487
2090,66,27,521
2099,66,21,545
2092,66,14,610
2100,65,17,631
2091,65,15,445
2094,68,16,521
2143,68,15,508
2099,65,14,557
2143,66,15,473
2098,64,28,1015
2153,68,104,740
2093,67,14,692
2142,66,17,498
2101,68,17,509
2147,66,14,634
2097,66,15,614
2120,68,14,763
2105,93,15,499
2094,67,16,461
2100,67,14,629
2096,67,28,585
2095,64,22,535
2093,67,14,439
2100,65,16,597
2093,65,25,651
2093,64,40,485
2096,65,15,382
2101,62,14,470
2094,67,27,499
2100,67,29,630
2161,68,15,464
2101,69,19,694
2153,67,15,483
2102,66,14,540
2149,68,63,546
2094,67,18,592
2144,66,19,500
2111,68,55,692
2149,65,17,441
2096,67,21,681
2124,66,14,686
2108,100,13,468
2091,71,15,440
2098,66,14,552
2093,67,31,458
2107,64,14,606
2094,66,13,425
2101,74,69,709
2099,67,51,530
2106,66,16,665
2098,67,14,436
2106,65,16,3464
2108,72,29,667
2098,67,18,436
2098,69,14,717
2101,141,16,513
2164,69,27,693
2102,82,20,501
2153,72,19,794
2099,72,30,591
2159,67,24,530
2103,72,17,491
2156,94,15,448
2102,69,16,435
2155,71,17,774
2102,109,26,573
2145,70,14,817
2106,112,23,447
2105,76,17,427
2099,70,22,430
2104,73,14,445
2100,65,13,507
2098,69,53,689
2119,69,15,447
2105,69,13,569
2097,65,19,5991
2099,89,17,582
2106,77,55,453
2101,68,18,527
2104,68,25,469
2101,71,15,495
2149,72,44,527
2102,69,14,472
2165,66,14,441
2102,67,90,688
2157,70,15,473
2101,73,15,500
2163,69,21,558
2102,69,14,516
2165,67,14,444
2104,369,13,432
2146,89,22,379
2103,71,16,417
2106,71,16,394
2099,71,15,376
2106,69,17,444
2101,74,15,500
2107,68,17,684
2100,69,24,550
2105,65,19,444
2100,63,30,459
2106,65,21,442
2102,67,15,615
2108,66,27,435
2157,70,15,443
2108,67,15,1184
2153,71,15,439
2104,68,19,484
2151,66,21,450
2109,66,15,457
2153,72,47,468
2107,68,37,431
